"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"244","P01623","P01623","-0.0975","-0.008","0.0424","0.0699"
"245","P14618_PKM2","P14618_PKM2","0.0673","0.039","-0.0158","-0.0969"
"246","P61626_LYZ","P61626_LYZ","4e-04","0.0228","-0.0968","0.0856"
"247","P02753_RBP4","P02753_RBP4","-0.0915","-0.0206","0.0765","0.0376"
"248","P08670_VIM","P08670_VIM","0.0909","0.039","-0.0511","-0.0839"
"249","P01591_IGJ","P01591_IGJ","-0.0597","0.0894","-0.0235","0.0042"
"250","P04080_CSTB","P04080_CSTB","-0.0569","0.0885","-0.061","0.0441"
"251","P06702_S100A9","P06702_S100A9","0.0883","-0.049","0.0221","-0.0752"
"252","P04406_GAPDH","P04406_GAPDH","-0.0265","0.0881","2e-04","-0.0584"
"253","P31151_S100A7","P31151_S100A7","-0.0873","0.0312","0.0818","-0.0251"
"254","P09211_GSTP1","P09211_GSTP1","-0.0536","0.0873","-0.0084","-0.0175"
"255","Q9UGM3_6_DMBT1","Q9UGM3_6_DMBT1","-0.017","0.075","-0.0869","0.0418"
"256","P14780_MMP9","P14780_MMP9","0.0225","0.0236","0.0323","-0.0852"
"257","P01763","P01763","-0.026","-0.0831","0.0275","0.0814"
"258","P06396_GSN","P06396_GSN","0.05","-0.0115","0.0322","-0.0809"
"259","P26038_MSN","P26038_MSN","0.0789","-0.0303","0.0051","-0.0643"
"260","Q99536_VAT1","Q99536_VAT1","0.0781","-0.028","-0.0161","-0.0418"
"261","A0A075B6P5","A0A075B6P5","-0.0775","0.0399","-0.0088","0.0572"
"262","Q96DR5_BPIFA2","Q96DR5_BPIFA2","-0.059","0.0462","-0.0499","0.0763"
"263","CON__P60712_ACTB","CON__P60712_ACTB","0.0549","0.0552","-0.0369","-0.0755"
"264","P07237_P4HB","P07237_P4HB","0.0538","0.0748","-0.0577","-0.0704"
"265","P31946_YWHAB","P31946_YWHAB","0.0289","0.0662","-0.0742","-0.0152"
"266","P04075_2_ALDOA","P04075_2_ALDOA","0.0184","0.013","0.0345","-0.0725"
"267","P01717","P01717","-0.0118","-0.0723","0.0535","0.0254"
"268","A0A087WW89","A0A087WW89","-0.0721","0.0099","0.0428","0.0231"
"269","Q01518_CAP1","Q01518_CAP1","0.0299","-0.0174","0.0488","-0.0712"
"270","P06733_ENO1","P06733_ENO1","-0.0284","0.0525","0.0447","-0.0709"
"271","P06753_2_TPM3","P06753_2_TPM3","0.0704","-0.0177","-0.02","-0.039"
"272","P11142_HSPA8","P11142_HSPA8","0.0189","-0.07","0.0448","-0.0016"
"273","Q01469_FABP5","Q01469_FABP5","-0.0412","0.0694","0.0084","-0.0325"
"274","Q08380_LGALS3BP","Q08380_LGALS3BP","-0.0259","0.0689","-0.0224","-0.0145"
"275","E7EX29_YWHAZ","E7EX29_YWHAZ","-0.0067","0.0681","-0.0261","-0.0312"
"276","P15153_RAC2","P15153_RAC2","0.0084","-0.0511","0.0677","-0.0345"
"277","P06314_IGKV4_1","P06314_IGKV4_1","-0.0637","-0.0168","0.0564","0.0251"
"278","P13796_LCP1","P13796_LCP1","0.0523","-0.0623","0.0372","-0.0383"
"279","E9PK25_CFL1","E9PK25_CFL1","0.0623","-0.0301","0.0106","-0.0519"
"280","P10599_TXN","P10599_TXN","-0.0577","0.0622","-0.0087","0.0125"
"281","P04264_KRT1","P04264_KRT1","0.0472","0.0613","-0.0558","-0.0516"
"282","O00299_CLIC1","O00299_CLIC1","0.0611","0.004","-0.0115","-0.0598"
"283","P01833_PIGR","P01833_PIGR","-0.0601","0.0464","0.008","0.0122"
"284","P02788_LTF","P02788_LTF","0.0422","0.0555","-0.039","-0.0591"
"285","CON__P13645_KRT10","CON__P13645_KRT10","-0.0267","0.0204","-0.0436","0.0587"
"286","O75626_PRDM1","O75626_PRDM1","0.0576","0.0017","-0.0359","-0.0261"
"287","REV__Q13085_4","REV__Q13085_4","-0.05","0.0315","-0.0286","0.0569"
"288","P24158_PRTN3","P24158_PRTN3","0.0423","-0.0543","0.0561","-0.0563"
"289","P50395_GDI2","P50395_GDI2","0.0431","0.0052","6e-04","-0.0544"
"290","P08107_HSPA1A","P08107_HSPA1A","0.0132","0.0033","0.0321","-0.0542"
"291","P11021_HSPA5","P11021_HSPA5","0.0072","0.0532","-0.0159","-0.0434"
"292","P37837_TALDO1","P37837_TALDO1","-0.0337","0.004","0.0516","-0.0242"
"293","A0A075B6L0_IGLC3","A0A075B6L0_IGLC3","-0.031","-0.0295","0.0509","0.0071"
"294","A0A087WZW8","A0A087WZW8","-0.0286","-0.0312","0.0382","0.0204"
"295","P60174_TPI1","P60174_TPI1","-0.0196","-0.0067","0.0366","-0.0125"
"296","P01779","P01779","-0.035","0.0273","0.0142","-0.0039"
"297","A0A087WX49_IGLL5","A0A087WX49_IGLL5","0.0087","0.0105","-0.0211","0.0036"
