*N,acc_tree,groups
3,0.833333333333,CON__P00761,P02675_FGB,P07900_2_HSP90AA1
3,0.833333333333,CON__P00761,P02675_FGB,P62937_PPIA
3,0.833333333333,CON__P00761,P02675_FGB,P06454_PTMA
3,0.833333333333,CON__P00761,P02675_FGB,P61160_2_ACTR2
3,0.833333333333,CON__P00761,P02675_FGB,P05109_S100A8
3,0.888888888889,CON__P00761,P02675_FGB,P14618_PKM2
3,0.833333333333,CON__P00761,P02675_FGB,P23280_CA6
3,0.833333333333,CON__P00761,P02675_FGB,P01616
3,0.833333333333,CON__P00761,P02675_FGB,P02671_FGA
3,0.833333333333,CON__P00761,P02675_FGB,P01859_IGHG2
3,0.833333333333,CON__P00761,P02675_FGB,P16403_HIST1H1C
3,0.833333333333,CON__P00761,P02675_FGB,Q9UKR3_KLK13
3,0.888888888889,CON__P00761,P02675_FGB,P55058_PLTP
3,0.833333333333,CON__P00761,P04792_HSPB1,P01859_IGHG2
3,0.833333333333,CON__P00761,P21333_FLNA,P00330_ADH1
3,0.833333333333,CON__P00761,P09382_LGALS1,P00330_ADH1
3,0.833333333333,CON__P00761,P06331,P00330_ADH1
3,0.833333333333,CON__P00761,P01876_IGHA1,P00330_ADH1
3,0.833333333333,CON__P00761,P16401_HIST1H1B,P00330_ADH1
3,0.833333333333,CON__P00761,P07900_2_HSP90AA1,P00330_ADH1
3,0.833333333333,CON__P00761,P07900_2_HSP90AA1,P30740_SERPINB1
3,0.833333333333,CON__P00761,P07900_2_HSP90AA1,P01859_IGHG2
3,0.833333333333,CON__P00761,P07900_2_HSP90AA1,P16403_HIST1H1C
3,0.833333333333,CON__P00761,P62937_PPIA,A0A087WV23_SH3BGRL3
3,0.833333333333,CON__P00761,P00330_ADH1,P40925_3_MDH1
3,0.833333333333,CON__P00761,P00330_ADH1,P30740_SERPINB1
3,0.833333333333,CON__P00761,P00330_ADH1,Q68D86_CCDC102B
3,0.833333333333,CON__P00761,P00330_ADH1,P14618_PKM2
3,0.833333333333,CON__P00761,P00330_ADH1,P01861_IGHG4
3,0.833333333333,CON__P00761,P00330_ADH1,P01616
3,0.833333333333,CON__P00761,P00330_ADH1,P06870_KLK1
3,0.833333333333,CON__P00761,P00330_ADH1,P02787_TF
3,0.833333333333,CON__P00761,P00330_ADH1,Q9UKR3_KLK13
